amfi_code,return_1yr_pct,return_3yr_pct,return_5yr_pct,annualised_return_pct,annualised_volatility_pct,sharpe_ratio,sortino_ratio,alpha,beta,r_squared,max_drawdown_pct,drawdown_start,drawdown_end,scheme_name,fund_house,category,sub_category,expense_ratio_pct,benchmark,risk_category
100016,-2.2257773892688015,1.2923525892154508,2.637074367211101,3.6324687080969253,14.54813480218387,-0.19710645597486626,-0.3433640712795276,0.03747580763443281,-0.05826843143880889,0.002665032698133322,-24.734440880673304,2022-03-30,2022-09-15,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,1.55,NIFTY 100 TRI,Moderate
100025,3.7075527018896492,3.9154793546847033,4.458209619173137,4.3781224757101,3.9052455281001612,-0.5433403633707403,-0.9023702904373414,0.042817920315060876,0.0011582183155281445,1.4612842041844981e-05,-4.308263824636349,2023-05-23,2023-07-28,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Short Duration,0.56,CRISIL Short Term Bond Index,Low
100033,53.277195495404996,32.43397122906222,30.12315310072722,31.253943549713135,18.936710835214157,1.30719340677059,2.186188718535788,0.2719535450128533,0.00510352583052832,1.2066520635068217e-05,-16.217208574644847,2022-03-11,2022-05-12,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Mid Cap,1.38,NIFTY Midcap 150 TRI,High
101206,47.96379447633372,28.960211096593724,23.53836133468803,23.931060444318454,14.56821284745432,1.1965133010370859,2.0961574944542347,0.21399784776051212,0.021086316250128027,0.00034804820307142496,-11.291596329323072,2023-04-24,2023-07-05,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Large Cap,1.6,NIFTY 100 TRI,Moderate
101207,-24.000309180292632,-4.151453816140693,7.938764837247714,11.286684498581657,25.797322217077745,0.18554966512814597,0.31557187379086005,0.10897091901704538,-0.06528924788351524,0.0010641052735572622,-35.44691649336603,2024-11-21,2026-05-11,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Small Cap,1.53,BSE 250 SmallCap TRI,Very High
101208,7.241777200393584,6.314299292105274,6.509026855465327,6.275257769506415,0.5064371352310744,-0.44377123014693853,-0.9146960403339701,0.060861457957871144,0.00026670968338238357,4.607623677105207e-05,-0.16224980244717857,2023-09-05,2023-09-12,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Liquid,0.79,CRISIL Liquid Fund AI Index,Low
102885,20.222858595384665,19.662361245910965,18.23237888770595,18.510427388856975,12.836628397860563,0.93563722627187,1.6440273701649033,0.17048756803412696,-0.019486785689474533,0.00038285030730923845,-10.85986215250232,2022-02-03,2022-03-29,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Index,1.57,NIFTY 50 TRI,Moderate
102886,-16.807959958672036,-0.7672319440258146,1.1717454918341197,2.805821074938186,18.13457629731129,-0.2037091390775713,-0.3436418587876307,0.028969397866379445,-0.042125029021894335,0.0008964294600687586,-28.00112356639287,2025-01-07,2026-04-27,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Mid Cap,1.51,NIFTY Midcap 150 TRI,High
102887,13.59304393755194,25.549670172502026,16.84112024730753,17.653467644260967,15.758366917913,0.7077806794549562,1.2438709465380637,0.16211256794033255,0.01668268943777081,0.00018619166432850138,-21.539827112383225,2022-01-03,2022-07-04,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Flexi Cap,1.64,NIFTY 500 TRI,Moderately High
118632,34.007895823651204,22.646647456747715,24.049492662391756,24.351578734954238,14.148352294996663,1.2617425946671657,2.158157656980261,0.21829397904608644,-0.008353832126962012,5.791756270127821e-05,-17.41407508665723,2024-01-02,2024-07-19,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Large Cap,1.51,NIFTY 100 TRI,Moderate
118633,25.559539940517382,21.084691029380597,16.274217354504273,16.796535611096864,13.997213649186167,0.7356132348308858,1.3162396560496756,0.1564383594816967,-0.036639006718609375,0.0011382947171084295,-18.62974313859551,2023-10-30,2024-02-29,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Large Cap,0.72,NIFTY 100 TRI,Moderate
118634,15.822866445588701,8.0060298597036,16.373474033415757,19.49789778947717,25.241520946340458,0.5149411486379397,0.8566558808662955,0.1750072167561127,0.10349663691337589,0.0027930065610663247,-23.34488614483311,2025-04-09,2026-02-20,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Small Cap,1.53,BSE 250 SmallCap TRI,Very High
118635,22.510248103762276,20.00321571698329,15.957231179671737,16.33153941139671,12.983158874316313,0.7572532622123085,1.2961232031834975,0.1513635464823924,-0.0014335213897801165,2.0253408972327968e-06,-11.650624505409091,2022-01-03,2022-06-09,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Index/ETF,0.89,NIFTY 50 TRI,Moderate
118636,10.462462788080341,4.061259859840338,5.316889625171273,5.209275230246191,3.985538155388261,-0.3238520670060102,-0.5571366836222765,0.05074772999976104,0.0012566742731558473,1.651665231033279e-05,-8.316361763638703,2023-02-09,2024-02-09,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Gilt,0.55,CRISIL Dynamic Gilt Index,Low
119092,1.61022963455828,0.5257668501786883,6.367989237605243,7.174178856308622,13.950661341123844,0.04832594239251389,0.082530443394465,0.0689952982167755,0.009730745001153633,8.08263769381077e-05,-14.401617909337261,2023-10-12,2025-02-07,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Large Cap,1.64,NIFTY 100 TRI,Moderate
119093,19.781538524100494,20.8115598266319,7.897557854375958,8.666206468402038,13.983295593638864,0.15491387233403447,0.26424064448280105,0.08232801295222093,0.025883212440093156,0.0005692038090244875,-21.751396370148225,2022-02-24,2023-05-22,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Large Cap,0.75,NIFTY 100 TRI,Moderate
119094,22.277897154308548,35.10252788903541,28.214417193652032,29.510935156102814,19.407117423334714,1.1856956730954253,2.0237653676792595,0.2607666908004223,-0.06626542862803757,0.001936878936960232,-20.960883862039193,2022-04-14,2022-08-11,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Mid Cap,1.38,NIFTY Midcap 50 TRI,High
119095,-42.81949516662213,-11.703299329834216,1.5215045330823962,4.702397872905184,25.066580232600455,-0.07171309809372946,-0.12099715526792275,0.048015953637759554,-0.06695117463929202,0.0011851593464486726,-51.677753708526566,2025-05-22,2026-05-11,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Small Cap,1.38,BSE 250 SmallCap TRI,Very High
119120,5.525880326360788,5.838988442093762,5.889418716346717,5.760338337711723,3.967062369033869,-0.18645072688091177,-0.310044632754086,0.05620895216638369,-0.0064138507282764734,0.0004342603321720048,-4.328728923970093,2024-09-16,2025-04-01,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Gilt,0.77,CRISIL Dynamic Gilt Index,Low
119551,60.489297118400344,30.448613060027817,25.804686425584002,25.97676685285746,13.741434141879644,1.4173751190567725,2.5106722794320966,0.23201007160635082,-0.03175144113890971,0.0008869788879322805,-15.012385498645331,2023-08-24,2024-02-05,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Large Cap,1.54,NIFTY 100 TRI,Moderate
119552,5.7101178520777784,16.263375081360643,21.524235873769705,21.872286899571126,13.939367612717515,1.1027965777691588,1.862261812586612,0.1986859936686296,-0.026159307513513405,0.0005850821704543428,-11.803493502764296,2024-05-21,2024-09-02,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Large Cap,0.66,NIFTY 100 TRI,Moderate
119598,82.85157468100046,26.66309129954312,32.423536152454616,35.32029850274468,25.14057862438468,1.1463657592507004,2.031639453584278,0.3033696538698332,-0.023196062044059697,0.00014142575502721716,-28.706005721764548,2024-08-28,2025-05-14,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Small Cap,1.43,BSE 250 SmallCap TRI,Very High
119599,13.957994357447735,-1.337083602283895,2.054484701809378,5.203539522009115,24.950125122855873,-0.05196208322030603,-0.08576408653769085,0.048824215945539845,0.062001804382671694,0.0010259205326765969,-52.57422117012851,2023-01-17,2025-10-28,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Small Cap,0.72,BSE 250 SmallCap TRI,Very High
120503,8.495135972254552,13.974980348212673,18.785325598262204,19.21194279616114,13.88443751311978,0.9155533152963009,1.5350876580724275,0.17703302365844073,-0.0402689523698206,0.001397444608331861,-13.897862823061635,2023-09-19,2023-11-09,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Large Cap,1.42,NIFTY 100 TRI,Moderate
120504,13.073788394478303,32.478927222623,23.29511862010305,23.65907456364489,14.363780566736665,1.1946071219844103,2.1008921616763088,0.2119482701352573,0.016232169761417007,0.00021216129075887457,-12.588275606922517,2022-10-04,2023-05-30,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Large Cap,0.8,NIFTY 100 TRI,Moderate
120505,29.627681171526877,31.769242852237323,32.82740607461121,33.97498596741138,19.290949406318195,1.424242290450087,2.449188498232241,0.2926358334175106,0.000549004250631717,1.3455341675669093e-07,-18.188513572116292,2024-10-24,2025-01-23,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Mid Cap,1.36,NIFTY Midcap 150 TRI,High
120506,41.85299002066023,18.417429266835228,17.08486725575018,17.79484908335465,15.230516379673059,0.74159331186098,1.252481284492887,0.1625385327998104,0.04189646272811977,0.0012571178108220743,-19.82565826298267,2023-03-31,2023-08-14,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Value,1.41,NIFTY 500 TRI,Moderately High
120507,7.430320855847317,7.392538786263403,7.237539728384412,6.9765446606042,0.4939126259512014,0.9648359559273197,2.0477689092852462,0.06746210411099539,-0.0004440926329707217,0.0001343066144067977,-0.09773140045925555,2025-10-16,2025-10-20,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Liquid,0.74,CRISIL Liquid Fund AI Index,Low
120841,16.849551529398422,17.263014444437943,13.53221114899239,14.055333035228657,13.463795800784437,0.561159211489858,0.9793003739238271,0.13042924450705445,0.0363563990221998,0.0012113711061211873,-17.57361416468729,2024-01-09,2025-02-14,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Large Cap,1.59,NIFTY 100 TRI,Moderate
120842,22.518986942465922,7.75416750547262,6.701543482038463,8.17582221915567,17.894715006571875,0.0936490029900013,0.1536505589463782,0.0780443887615508,0.01805687420811815,0.00016915548838314346,-24.003511326274886,2023-11-09,2024-10-17,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,Mid Cap,1.56,NIFTY Midcap 150 TRI,High
