investor_id,sip_transactions,first_sip_date,last_sip_date,avg_gap_days,max_gap_days,total_sip_amount,continuity_status
INV000004,6,2024-03-16,2025-05-17,85.4,265.0,48256,at-risk
INV000008,6,2024-05-27,2025-05-14,70.4,165.0,72853,at-risk
INV000010,6,2024-04-11,2025-03-01,64.8,139.0,32183,at-risk
INV000011,7,2024-01-03,2024-08-31,40.166666666666664,125.0,93920,at-risk
INV000012,8,2024-03-27,2025-04-30,57.0,132.0,40139,at-risk
INV000013,7,2024-04-18,2025-03-16,55.333333333333336,104.0,75613,at-risk
INV000014,7,2024-02-23,2025-05-20,75.33333333333333,128.0,140315,at-risk
INV000023,8,2024-03-21,2025-05-05,58.57142857142857,115.0,202529,at-risk
INV000028,6,2024-02-07,2025-05-20,93.6,238.0,84262,at-risk
INV000029,7,2024-05-16,2025-05-15,60.666666666666664,96.0,90012,at-risk
INV000030,9,2024-02-19,2025-03-06,47.625,100.0,76470,at-risk
INV000033,8,2024-06-24,2025-05-09,45.57142857142857,87.0,46033,at-risk
INV000039,6,2024-04-27,2025-04-05,68.6,129.0,99338,at-risk
INV000045,6,2024-03-13,2025-03-01,70.6,109.0,114438,at-risk
INV000048,9,2024-03-27,2025-03-30,46.0,168.0,40327,at-risk
INV000052,6,2024-03-31,2024-09-28,36.2,120.0,24378,at-risk
INV000056,6,2024-01-10,2025-01-18,74.8,161.0,60977,at-risk
INV000057,8,2024-04-30,2025-04-13,49.714285714285715,149.0,90907,at-risk
INV000069,10,2024-02-14,2025-05-01,49.111111111111114,129.0,156054,at-risk
INV000072,6,2024-03-24,2025-05-13,83.0,247.0,49372,at-risk
INV000073,9,2024-03-20,2025-04-10,48.25,112.0,113509,at-risk
INV000074,8,2024-01-08,2025-05-30,72.57142857142857,191.0,106669,at-risk
INV000075,6,2024-05-01,2025-05-10,74.8,102.0,147761,at-risk
INV000076,6,2024-02-06,2025-05-10,91.8,203.0,50910,at-risk
